pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
42.8625,-58.57875,90.0,bottom,D1,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
80.9625,-78.58125,90.0,bottom,D10,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
100.0125,-78.58125,90.0,bottom,D11,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
119.0625,-78.58125,90.0,bottom,D12,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
138.1125,-78.58125,90.0,bottom,D13,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
157.1625,-78.58125,90.0,bottom,D14,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
42.8625,-97.63125,90.0,bottom,D15,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
42.8625,-116.68125,90.0,bottom,D16,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
61.9125,-97.63125,90.0,bottom,D17,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
61.9125,-116.68125,90.0,bottom,D18,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
80.9625,-97.63125,90.0,bottom,D19,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
61.9125,-58.57875,90.0,bottom,D2,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
80.9625,-116.68125,90.0,bottom,D20,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
100.0125,-97.63125,90.0,bottom,D21,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
100.0125,-116.68125,90.0,bottom,D22,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
119.0625,-97.63125,90.0,bottom,D23,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
119.0625,-116.68125,90.0,bottom,D24,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
138.1125,-97.63125,90.0,bottom,D25,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
138.1125,-116.68125,90.0,bottom,D26,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
157.1625,-97.63125,90.0,bottom,D27,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
157.1625,-116.68125,90.0,bottom,D28,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
42.8625,-135.73125,90.0,bottom,D29,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
80.9625,-58.57875,90.0,bottom,D3,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
61.9125,-135.73125,90.0,bottom,D30,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
80.9625,-135.73125,90.0,bottom,D31,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
100.0125,-135.73125,90.0,bottom,D32,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
