pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
299.56125,-59.84875,90.0,bottom,D34,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
318.61125,-59.84875,90.0,bottom,D35,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
337.66125,-59.84875,90.0,bottom,D36,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
356.71125,-59.84875,90.0,bottom,D37,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
375.76125,-59.84875,90.0,bottom,D38,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
394.81125,-59.84875,90.0,bottom,D39,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
413.86125,-59.84875,90.0,bottom,D40,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
299.56125,-78.89875,90.0,bottom,D41,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
318.61125,-78.89875,90.0,bottom,D42,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
337.66125,-78.89875,90.0,bottom,D43,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
356.71125,-78.89875,90.0,bottom,D44,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
375.76125,-78.89875,90.0,bottom,D45,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
394.81125,-78.89875,90.0,bottom,D46,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
413.86125,-78.89875,90.0,bottom,D47,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
299.56125,-97.94875,90.0,bottom,D48,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
318.61125,-97.94875,90.0,bottom,D49,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
337.66125,-97.94875,90.0,bottom,D50,,,D_DO-35_SOD27_P7.62mm_Horizontal,D_Small,tht
